"name","Type","Value","RefId","rule_refid","eval_refid","evalType","propname","propiid"
"NCCPI - Parent Material is Loess","not_null_and","0","16909","21597","16909","Crisp","PARENT MATERIAL KIND IS LOESS","13409"
"NCCPI - pH 0-20cm (Corn and Soybeans)","null_not_rated","0","15999","21282","15999","ArbitraryCurve","pH IN DEPTH 0-20CM, WTD AVE","13531"
"NCCPI - pH 20-150cm (Corn and Soybeans)","null_or","0","16000","21281","16000","ArbitraryCurve","pH IN DEPTH 20-150CM, WTD AVE","13532"
"NCCPI - CEC 0-150cm or Bulk Density too High","null_not_rated","0","15994","19755","15994","ArbitraryCurve","MEQ 0-150cm OR BD TOO HIGH","13527"
"NCCPI - CEC 0-150cm or EC >= 8.01","not_null_and","0","15995","19755","15995","ArbitraryCurve","MEQ 0-150cm OR EC > 8.01","13526"
"NCCPI - CEC 0-150cm or pH <= 3.5","not_null_and","0","15996","19755","15996","ArbitraryCurve","MEQ 0-150cm OR PH <= 3.5","13525"
"NCCPI - CEC 0-150cm or Restriction","null_not_rated","0","15997","19755","15997","ArbitraryCurve","MEQ 0-150cm OR RESTRICTION","13528"
"NCCPI - Wet Soil Months, Count","not_null_and","0","17122","19755","17122","ArbitraryCurve","WET SOIL MONTHS GROWING SEASON - COUNT","14471"
"NCCPI - OM 0-20cm","null_not_rated","0","16009","19760","16009","ArbitraryCurve","ORGANIC MATTER IN DEPTH 0-20CM, WTD AVE","17047"
"NCCPI - OM 20-150cm","null_not_rated","0","16010","19760","16010","ArbitraryCurve","ORGANIC MATTER PERCENT 20-150 CM","13550"
"NCCPI - SAR 0-20cm (Corn)","null_not_rated","0","16018","21196","16018","ArbitraryCurve","SAR OF SURFACE 20cm","13563"
"NCCPI - SAR 20-150cm (Corn)","null_not_rated","0","16017","21196","16017","ArbitraryCurve","SAR 20-150cm","13564"
"NCCPI - EC 0-150 cm or Bulk Density too High","null_or","0","16008","21197","16008","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE BD TOO HIGH","13545"
"NCCPI - EC 0-150 cm or EC >= 16","null_or","0","16007","21197","16007","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE EC > 16","13546"
"NCCPI - EC 0-150 cm or Restriction","null_or","0","16005","21197","16005","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE RESTR. LAYER","13544"
"NCCPI - EC 0-150 cm or pH <= 3.5","null_or","0","16006","21197","16006","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE PH <3.5","13547"
"NCCPI - EC 0-10cm Germination Adverse","null_or","0","17817","22624","17817","ArbitraryCurve","ELECTRICAL CONDUCTIVITY MAX 0-10 CM","14968"
"NCCPI - GYPSUM 0-20cm","null_not_rated","0","16020","21198","16020","Linear","GYPSUM FROM 0 to 20cm","13569"
"NCCPI - GYPSUM 20-150cm","null_not_rated","0","16019","21198","16019","Linear","GYPSUM 20-150cm","13570"
"NCCPI - AWC Sufficiency 0-200cm Revised","null_not_rated","0","74096","33999","74096","ArbitraryCurve","AWC * Root Sufficiency (NCCPI)","23371"
"NCCPI - Water Table Depth During Summer Growth","not_null_and","0","16118","21001","16118","ArbitraryCurve","WATER TABLE DEPTH MIN DURING SUMMER GROWTH","13656"
"NCCPI - Mean Annual Air Temperature (Soil Proxy)","null_not_rated","0","33765","37154","33765","ArbitraryLinear","MEAN ANNUAL AIR TEMPERATURE","13636"
"NCCPI - Precipitation Recharge","null_not_rated","0","16761","22413","16761","ArbitraryCurve","PRECIPITATION RECHARGE","14186"
"NCCPI_B - Ksat Minimum within 150cm","null_not_rated","0","17697","22413","17697","Sigmoid","KSAT MINIMUM ABOVE RESTRICTIVE LAYER (0-150cm)","13533"
"NCCPI_B - Organic Matter in Profile","null_not_rated","0","17698","22413","17698","ArbitraryLinear","OC IN KG/M2, WHOLE PROFILE","13769"
"NCCPI_B - Water-Gathering Surface, Corn","multiply","1","18070","22348","18070","ArbitraryCurve","WATER GATHERING SURFACE, WHEAT","14819"
"NCCPI - Frost Free Days Revised","null_not_rated","0","56945","19849","56945","ArbitraryCurve","FROST-FREE DAYS","13359"
"NCCPI - Mean Annual Precipitation","null_not_rated","0","16413","19847","16413","ArbitraryCurve","MEAN ANNUAL PRECIPITATION FROM H&L","35985"
"NCCPI_B - Growing Season <= 135 FFD Soil Wetness Index","not_null_and","0","17925","26265","17925","ArbitraryLinear","GENERAL INDICATOR MLRA DURING < 135 FFD (CORN)","27343"
"NCCPI_B - Growing Season > 135 to <= 160 Soil Wetness Index","not_null_and","0","17926","26265","17926","ArbitraryLinear","GENERAL INDICATOR MLRA DURING 135-160 FFD (CORN)","27342"
"NCCPI_B - Growing Season > 160 to <= 185 Soil Wetness Index","not_null_and","0","17927","26265","17927","ArbitraryLinear","GENERAL INDICATOR MLRA DURING 160-185 FFD (CORN)","27341"
"NCCPI_B - Growing Season > 185 to <= 210 Soil Wetness Index","not_null_and","0","17928","26265","17928","ArbitraryLinear","GENERAL INDICATOR MLRA DURING 185-210 FFD (CORN)","27340"
"NCCPI_B - Growing Season > 210 Soil Wetness Index","not_null_and","0","17929","26265","17929","ArbitraryLinear","GENERAL INDICATOR MLRA DURING >210 FFD (CORN)","27339"
"NCCPI - Effective Slope","null_not_rated","0","16053","19838","16053","ArbitraryCurve","SLOPE PERCENT","1213"
"NCCPI - Ponding During Growing Season (Corn)","multiply","1","16061","19846","16061","ArbitraryCurve","PONDING SEVERITY (CORN)","14850"
"NCCPI_B - Flooding During Growing Season (Corn)","multiply","1","17636","22242","17636","ArbitraryCurve","FLOODING FREQUENCY AND DURATION (CORN)","27319"
"NCCPI - Interpretable Component","null_not_rated","0","18473","23736","18473","Crisp","INTERPRETABLE COMPONENT","15327"
"NCCPI - Log Ksat Minimum LEP 0 to 50cm Above BD too High","not_null_and","0","16991","21303","16991","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50CM ABOVE BD TOO HIGH","14377"
"NCCPI - Log Ksat Minimum LEP 0 to 50cm Above EC >= 8.01","not_null_and","0","16992","21303","16992","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm ABOVE EC >=16","14378"
"NCCPI - Log Ksat Minimum LEP 0 to 50cm Above Restriction","null_not_rated","0","16994","21303","16994","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm ABOVE RESTRICTIVE LAYER","14372"
"NCCPI - Log Ksat Minimum LEP 0 to 50cm Above pH <= 3.5","not_null_and","0","16993","21303","16993","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm ABOVE PH <= 3.5","14379"
"NCCPI - Log Ksat Minimum LEP 50 to 100cm Above BD too High","null_or","0","16995","21304","16995","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm ABOVE BD TOO HIGH","14380"
"NCCPI - Log Ksat Minimum LEP 50 to 100cm Above EC >= 8.01","null_or","0","16996","21304","16996","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm ABOVE EC >=16","14381"
"NCCPI - Log Ksat Minimum LEP 50 to 100cm Above Restriction","null_or","0","16998","21304","16998","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm ABOVE RESTRICTIVE LAYER","14375"
"NCCPI - Log Ksat Minimum LEP 50 to 100cm Above pH <= 3.5","null_or","0","16997","21304","16997","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm ABOVE PH <= 3.5","14382"
"NCCPI - Log Ksat Minimum LEP 100 to 150cm Above BD too High","null_or","0","16999","21305","16999","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm ABOVE BD TOO HIGH","14383"
"NCCPI - Log Ksat Minimum LEP 100 to 150cm Above EC >= 8.01","null_or","0","17000","21305","17000","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm ABOVE EC >=16","14384"
"NCCPI - Log Ksat Minimum LEP 100 to 150cm Above Restriction","null_or","0","17002","21305","17002","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm ABOVE RESTRICTIVE LAYER","14374"
"NCCPI - Log Ksat Minimum LEP 100 to 150cm Above pH <= 3.5","null_or","0","17001","21305","17001","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm ABOVE PH <= 3.5","14385"
"NCCPI - LEP 0-150cm","multiply","1","16011","19761","16011","ArbitraryCurve","LEP WEIGHTED AVERAGE 0-150CM ABOVE A RESTRICTION","13551"
"NCCPI - BD 0-150cm or Restriction","null_not_rated","0","15975","19737","15975","ArbitraryCurve","BULK DENSITY RATIO (WTD AVE) ABOVE RESTR. LAYER","13519"
"NCCPI - BD 0-150cm or pH <3.5","null_or","0","15976","19737","15976","ArbitraryCurve","BULK DENSITY RATIO (WTD AVE) ABOVE PH <3.5","13521"
"NCCPI - BD 0-150cm or EC >= 8.01","null_or","0","15980","19737","15980","ArbitraryCurve","BULK DENSITY RATIO (WTD AVE) ABOVE EC > 8","13523"
"NCCPI - BD 0-150cm or Bulk Density too High","not_null_and","0","15998","19737","15998","ArbitraryCurve","BULK DENSITY RATIO (WTD AVE) ABOVE BD TOO HIGH","13529"
"NCCPI - Rock Fragment Content 0-20cm","null_or","0","16013","19762","16013","ArbitraryCurve","ROCK FRAGMENT CONTENT 0-20cm OR BD TOO HIGH","13554"
"NCCPI - Rock Fragment Content 0-150cm","null_or","0","16014","19762","16014","ArbitraryCurve","ROCK FRAGMENT CONTENT 0-150cm OR BD TOO HIGH","13553"
"NCCPI - Depth to Restrictive Layer","null_or","0","15985","19752","15985","ArbitraryCurve","DEPTH TO FIRST RESTRICTION BELOW ORGANIC LAYER, 151 DEFAULT","13893"
"NCCPI - Fragments >250 mm on Surface","not_null_and","0","16058","19844","16058","ArbitraryLinear","FRAGMENTS >250 MM ON SURFACE","13627"
"NCCPI - Erosion Class","multiply","0.75","16154","20089","16154","ArbitraryLinear","EROSION CLASS","13676"
"NCCPI_B - Rock Outcrop Present in Map Unit","null_not_rated","0","18431","23645","18431","ArbitraryLinear","AGRICULTURAL ROCK OUTCROP","15294"
"NCCPI_B - Surface Degraded Components","subtract","0.6","18317","23491","18317","Crisp","SURFACE DEGRADED COMPONENTS","15216"
"NCCPI_B - No Surface Drainage Components","subtract","0.4","18638","24290","18638","Crisp","NO SURFACE DRAINAGE COMPONENTS","15436"
"Drainage Class is Not Subaqueous","null_not_rated","0","63824","63589","63824","Crisp","DRAINAGE CLASS IS NOT SUBAQUEOUS","52969"
"NCCPI_B - pH 0-150cm (Wheat)","null_or","0","17616","22211","17616","ArbitraryCurve","pH IN DEPTH 20-150CM, WTD AVE","13532"
"NCCPI_B - pH 0-20cm (Wheat)","null_not_rated","0","17615","22210","17615","ArbitraryCurve","pH IN DEPTH 0-20CM, WTD AVE","13531"
"NCCPI_B - CEC 0-150cm or Bulk Density too High (Wheat)","null_not_rated","0","18200","23222","18200","ArbitraryCurve","MEQ 0-150cm OR BD TOO HIGH","13527"
"NCCPI_B - CEC 0-150cm or EC >= 8.01 (Wheat)","not_null_and","0","18201","23222","18201","ArbitraryCurve","MEQ 0-150cm OR EC > 8.01","13526"
"NCCPI_B - CEC 0-150cm or Restriction (Wheat)","not_null_and","0","18203","23222","18203","ArbitraryCurve","MEQ 0-150cm OR RESTRICTION","13528"
"NCCPI_B - CEC 0-150cm or pH <= 3.5 (Wheat)","null_not_rated","0","18202","23222","18202","ArbitraryCurve","MEQ 0-150cm OR PH <= 3.5","13525"
"NCCPI - Wet Soil Months, Count","not_null_and","0","17122","23222","17122","ArbitraryCurve","WET SOIL MONTHS GROWING SEASON - COUNT","14471"
"NCCPI_B - SAR 20-150cm (Wheat)","null_not_rated","0","18627","24159","18627","ArbitraryCurve","SAR 20-150cm","13564"
"NCCPI_B - SAR 0-20cm (Wheat)","null_not_rated","0","18626","24159","18626","ArbitraryCurve","SAR OF SURFACE 20cm","13563"
"NCCPI_B - EC 0-10cm Germination Adverse (Wheat)","null_or","0","18241","24133","18241","ArbitraryCurve","ELECTRICAL CONDUCTIVITY MAX 0-10 CM","14968"
"NCCPI_B - EC 0-150 cm or pH <= 3.5 (Wheat)","null_or","0","18244","24132","18244","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE PH <3.5","13547"
"NCCPI_B - EC 0-150 cm or Restriction (Wheat)","null_or","0","18245","24132","18245","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE RESTR. LAYER","13544"
"NCCPI_B - EC 0-150 cm or EC >= 16 (Wheat)","null_or","0","18243","24132","18243","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE EC > 16","13546"
"NCCPI_B - EC 0-150 cm or Bulk Density too High (Wheat)","null_or","0","18242","24132","18242","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE BD TOO HIGH","13545"
"NCCPI - AWC Sufficiency 0-200cm","null_not_rated","0","27092","34177","27092","ArbitraryCurve","AWC * Root Sufficiency (NCCPI)","23371"
"NCCPI_B - Water Table Depth During Summer Growth (Wheat)","not_null_and","0","17762","22575","17762","ArbitraryCurve","WATER TABLE DEPTH MIN DURING SUMMER GROWTH","13656"
"NCCPI_B - Precipitation Recharge (Wheat)","null_not_rated","0","17609","22199","17609","ArbitraryCurve","PRECIPITATION RECHARGE, WHEAT","15375"
"NCCPI_B - Organic Matter in Profile","null_not_rated","0","17698","22199","17698","ArbitraryLinear","OC IN KG/M2, WHOLE PROFILE","13769"
"NCCPI_B - Ksat Minimum within 150cm","null_not_rated","0","17697","22199","17697","Sigmoid","KSAT MINIMUM ABOVE RESTRICTIVE LAYER (0-150cm)","13533"
"NCCPI_B - Water-Gathering Surface, Wheat","multiply","1","17599","22189","17599","ArbitraryCurve","WATER GATHERING SURFACE, WHEAT","14819"
"NCCPI_B - Log Ksat Minimum LEP 0 to 50cm Above pH <= 3.5","not_null_and","0","18207","23223","18207","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm ABOVE PH <= 3.5","14379"
"NCCPI_B - Log Ksat Minimum LEP 0 to 50cm Above Restriction","not_null_and","0","18208","23223","18208","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm ABOVE RESTRICTIVE LAYER","14372"
"NCCPI_B - Log Ksat Minimum LEP 0 to 50cm Above EC >= 8.01","not_null_and","0","18206","23223","18206","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm ABOVE EC >=16","14378"
"NCCPI_B - Log Ksat Minimum LEP 0 to 50cm Above BD too High","not_null_and","0","18205","23223","18205","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50CM ABOVE BD TOO HIGH","14377"
"NCCPI_B - Log Ksat Minimum LEP 50 to 100cm Above pH <= 3.5","null_or","0","18211","23224","18211","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm ABOVE PH <= 3.5","14382"
"NCCPI_B - Log Ksat Minimum LEP 50 to 100cm Above Restriction","null_or","0","18212","23224","18212","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm ABOVE RESTRICTIVE LAYER","14375"
"NCCPI_B - Log Ksat Minimum LEP 50 to 100cm Above EC >= 8.01","null_or","0","18210","23224","18210","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm ABOVE EC >=16","14381"
"NCCPI_B - Log Ksat Minimum LEP 50 to 100cm Above BD too High","null_or","0","18209","23224","18209","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm ABOVE BD TOO HIGH","14380"
"NCCPI_B - Log Ksat Minimum LEP 100 to 150cm Above pH <= 3.5","null_or","0","18215","23225","18215","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm ABOVE PH <= 3.5","14385"
"NCCPI_B - Log Ksat Minimum LEP 100 to 150cm Above Restr","null_or","0","18216","23225","18216","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm ABOVE RESTRICTIVE LAYER","14374"
"NCCPI_B - Log Ksat Minimum LEP 100 to 150cm Above EC >= 8.01","null_or","0","18214","23225","18214","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm ABOVE EC >=16","14384"
"NCCPI_B - Log Ksat Minimum LEP 100 to 150cm Above BD too Hi","null_or","0","18213","23225","18213","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm ABOVE BD TOO HIGH","14383"
"NCCPI_B - LEP 0-150cm (Wheat)","multiply","1","18204","23227","18204","ArbitraryCurve","LEP WEIGHTED AVERAGE 0-150CM ABOVE A RESTRICTION","13551"
"NCCPI_B - Depth to pH <3.5 (Wheat)","null_or","0","18005","22823","18005","ArbitraryCurve","DEPTH TO PH <= 3.5 BELOW AN ORGANIC LAYER","13473"
"NCCPI_B - Depth to Restrictive Layer (Wheat)","null_or","0","18006","22823","18006","ArbitraryCurve","DEPTH TO FIRST RESTRICTION BELOW ORGANIC LAYER, 151 DEFAULT","13893"
"NCCPI_B - Depth to EC >= 8.01 (Wheat)","null_or","0","18004","22823","18004","ArbitraryCurve","DEPTH TO EC >= 8.01 BELOW AN ORGANIC LAYER","13512"
"NCCPI_B - Depth to Dense Layer (Wheat)","null_or","0","18003","22823","18003","ArbitraryCurve","DPTH TO BULK DENSITY DIFFERENCE >.25 BELOW AN ORGANIC","13479"
"NCCPI - Frost Free Days (Wheat)(II)","null_not_rated","0","17726","22459","17726","ArbitraryCurve","FROST-FREE DAYS","13359"
"NCCPI - Mean Annual Precipitation (Wheat)(II)","null_not_rated","0","33770","22173","33770","ArbitraryCurve","PRECIPITATION REPRESENTATIVE VALUE","27303"
"NCCPI_B - Effective Slope, Not Xeric (Wheat)","not_null_and","0","17618","22221","17618","ArbitraryCurve","NOT XERIC SLOPE, WHEAT","15379"
"NCCPI_B - Effective Slope, Xeric (Wheat)","not_null_and","0","18576","22221","18576","ArbitraryCurve","XERIC SLOPE, WHEAT","15378"
"NCCPI_B - Fragments >250 mm on Surface (Wheat)","null_or","0","17621","22226","17621","ArbitraryLinear","FRAGMENTS >250 MM ON SURFACE","13627"
"NCCPI_B - Fragments in Surface (Wheat)","null_or","0","18034","22226","18034","ArbitraryCurve","FRAGMENTS IN SURFACE LAYER","15132"
"NCCPI_B - Wetness During FFD >105 to <=120 (Wheat)","null_or","0","18000","22807","18000","ArbitraryCurve","WETNESS DURING >105 TO <= 120 FFD GROWING SEASON","15070"
"NCCPI_B - Wetness During FFD >120 (Wheat)","null_or","0","18001","22807","18001","ArbitraryCurve","WETNESS DURING > 120 FFD GROWING SEASON","15071"
"NCCPI_B - Wetness During FFD >90 to <=105 (Wheat)","null_or","0","17999","22807","17999","ArbitraryCurve","WETNESS DURING >90 TO <= 105 FFD GROWING SEASON","15110"
"NCCPI_B - Wetness During FFD <= 90 (Wheat)","null_or","0","18020","22807","18020","ArbitraryCurve","WETNESS DURING <= 90 FFD GROWING SEASON","15109"
"NCCPI_B - Ponding During Growing Season 90-105 (Wheat)","not_null_and","0","17620","22224","17620","ArbitraryLinear","PONDING SEVERITY 90-105 FFD (WHEAT)","14851"
"NCCPI_B - Ponding During Growing Season > 145 (Wheat)","not_null_and","0","17741","22224","17741","ArbitraryLinear","PONDING SEVERITY >145 FFD (WHEAT)","14935"
"NCCPI_B - Ponding During Growing Season 105-120 (Wheat)","not_null_and","0","18027","22224","18027","ArbitraryCurve","PONDING SEVERITY 105-120 FFD (WHEAT)","15127"
"NCCPI_B - Ponding During Growing Season <90 (Wheat)","not_null_and","0","18026","22224","18026","ArbitraryCurve","PONDING SEVERITY <= 90 FFD (WHEAT)","15126"
"NCCPI_B - Ponding During Growing Season 120-145 (Wheat)","not_null_and","0","18554","22224","18554","ArbitraryLinear","PONDING SEVERITY 120-145 FFD (WHEAT)","15372"
"NCCPI_B - Flooding During Growing Season < 90 FFD (Wheat)","null_or","0","18022","22246","18022","ArbitraryCurve","FLOODING SEVERITY FFD <= 90 (WHEAT)","15121"
"NCCPI_B - Flooding During Growing Season 90-105 FFD (Wheat)","null_or","0","18023","22246","18023","ArbitraryCurve","FLOODING SEVERITY FFD >90 - <=105 (WHEAT)","15122"
"NCCPI_B - Flooding During Growing Season 105-120 FFD (Wheat)","null_or","0","18024","22246","18024","ArbitraryCurve","FLOODING SEVERITY FFD >105 - <=120 (WHEAT)","15123"
"NCCPI_B - Flooding During Growing Season >120 FFD (Wheat)","null_or","0","18025","22246","18025","ArbitraryCurve","FLOODING SEVERITY FFD > 120 (WHEAT)","15124"
"NCCPI_B - Not Xeric (Wheat)","subtract","0.85","18577","24082","18577","Crisp","XERIC CLIMATE","15376"
"NCCPI_B - pH 0-20cm, map_r <700 (Cotton)","not_null_and","0","19566","25922","19566","ArbitraryCurve","pH IN DEPTH 0-20CM, WTD AVE, 0-700MM MAP","16481"
